Common CALLOTHER operations ordered by index:
Index: 0x5, Name: syscall
Index: 0xb, Name: rdtscp
Index: 0x10, Name: swi
Index: 0x11, Name: LOCK
Index: 0x12, Name: UNLOCK
Index: 0x2c, Name: cpuid
Index: 0x2d, Name: cpuid_basic_info
Index: 0x2e, Name: cpuid_Version_info
Index: 0x2f, Name: cpuid_cache_tlb_info
Index: 0x30, Name: cpuid_serial_info
Index: 0x31, Name: cpuid_Deterministic_Cache_Parameters_info
Index: 0x32, Name: cpuid_MONITOR_MWAIT_Features_info
Index: 0x33, Name: cpuid_Thermal_Power_Management_info
Index: 0x34, Name: cpuid_Extended_Feature_Enumeration_info
Index: 0x35, Name: cpuid_Direct_Cache_Access_info
Index: 0x36, Name: cpuid_Architectural_Performance_Monitoring_info
Index: 0x37, Name: cpuid_Extended_Topology_info
Index: 0x38, Name: cpuid_Processor_Extended_States_info
Index: 0x39, Name: cpuid_Quality_of_Service_info
Index: 0x3a, Name: cpuid_brand_part1_info
Index: 0x3b, Name: cpuid_brand_part2_info
Index: 0x3c, Name: cpuid_brand_part3_info
Index: 0x4a, Name: rdtsc
Index: 0x97, Name: pshufb
Index: 0x98, Name: pshufhw
Index: 0xdc, Name: aesenc
Index: 0x13a, Name: vmovdqu_avx
Index: 0x144, Name: vmovntdq_avx
Index: 0x1be, Name: vptest_avx
Index: 0x1c7, Name: vpxor_avx
Index: 0x203, Name: vpand_avx2
Index: 0x209, Name: vpcmpeqb_avx2
Index: 0x25d, Name: vpbroadcastb_avx2
